06-26 03:47:43.361 27688-27754/nl.tudelft.cs4160.trustchain_android I/Statistics-lg: runtime,messagesSent,messagesReceived,introductionRequestsSent,introductionRequestsReceived,introductionResponsesSent,introductionResponsesReceived,puncturesSent,puncturesReceived,punctureRequestsSent,punctureRequestsReceived,blockMessagesSent,blockMessagesReceived,bytesSentCount,bytesReceivedCount,activeConnections,newConnections
06-26 16:04:30.568 11275-11802/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_0: 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-26 16:04:30.580 11275-11807/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_1: 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-26 16:04:30.587 11275-11812/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_2: 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-26 16:04:30.596 11275-11817/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-26 16:04:30.608 11275-11822/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_4: 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-26 16:04:30.625 11275-11827/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_5: 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-26 16:04:30.638 11275-11832/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_6: 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-26 16:04:30.646 11275-11837/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_7: 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-26 16:04:30.651 11275-11842/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_8: 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-26 16:04:30.657 11275-11848/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_9: 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-26 16:04:40.570 11275-11802/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_0: 10003,23,22,4,9,9,4,1,2,9,7,0,0,11201,5798,11,0
06-26 16:04:40.580 11275-11807/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_1: 10001,20,20,9,5,5,9,1,1,5,5,0,0,6393,9481,11,0
06-26 16:04:40.587 11275-11812/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_2: 10000,19,17,4,7,7,4,1,1,7,5,0,0,7315,6300,8,3
06-26 16:04:40.595 11275-11817/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 10000,20,14,5,7,7,4,1,0,7,3,0,0,7024,5627,9,2
06-26 16:04:40.607 11275-11822/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_4: 10002,28,25,3,9,9,3,7,1,9,12,0,0,11101,6310,9,1
06-26 16:04:40.624 11275-11827/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_5: 10001,20,22,6,7,7,6,0,1,7,8,0,0,7866,9169,10,1
06-26 16:04:40.636 11275-11832/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_6: 10000,18,20,10,4,4,10,0,3,4,3,0,0,5162,10251,11,0
06-26 16:04:40.646 11275-11837/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_7: 10001,18,25,8,5,5,8,0,1,5,11,0,0,6627,9817,11,0
06-26 16:04:40.652 11275-11842/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_8: 10001,17,23,11,3,3,11,0,2,3,7,0,0,4224,11681,11,0
06-26 16:04:40.658 11275-11848/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_9: 10001,15,22,11,2,2,11,0,3,2,6,0,0,3754,11198,11,0
06-26 16:04:50.569 11275-11804/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_0: 20001,81,76,24,28,28,23,1,2,28,23,0,0,44932,37859,11,0
06-26 16:04:50.580 11275-11807/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_1: 20001,82,81,29,26,26,28,1,1,26,26,0,0,43456,43503,11,0
06-26 16:04:50.587 11275-11814/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_2: 20000,81,79,24,28,28,23,1,1,28,27,0,0,43623,40437,11,0
06-26 16:04:50.595 11275-11819/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 20000,76,80,25,25,25,24,1,0,25,31,0,0,38218,42305,11,0
06-26 16:04:50.607 11275-11824/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_4: 20002,88,81,23,29,29,22,7,1,29,29,0,0,45302,39211,11,0
06-26 16:04:50.625 11275-11829/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_5: 20001,74,82,26,24,24,25,0,1,24,32,0,0,37494,43540,11,0
06-26 16:04:50.636 11275-11834/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_6: 20000,78,68,30,24,24,30,0,3,24,11,0,0,40528,42258,11,0
06-26 16:04:50.646 11275-11839/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_7: 20001,78,81,28,25,25,27,0,1,25,28,0,0,42029,42337,11,0
06-26 16:04:50.652 11275-11844/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_8: 20001,77,78,31,23,23,30,0,2,23,23,0,0,39614,44322,11,0
06-26 16:04:50.662 11275-11850/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_9: 20006,71,78,31,20,20,30,0,3,20,25,0,0,35776,44685,11,0
06-26 16:05:00.569 11275-11802/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_0: 30001,145,136,44,50,50,44,1,2,50,40,0,0,83600,73928,11,0
06-26 16:05:00.580 11275-11809/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_1: 30002,148,141,49,49,49,49,1,1,49,42,0,0,83765,79435,11,0
06-26 16:05:00.587 11275-11812/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_2: 30000,139,137,44,47,47,44,1,1,47,45,0,0,77326,76598,11,0
06-26 16:05:00.595 11275-11817/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 30000,138,139,45,46,46,44,1,0,46,49,0,0,75241,77178,11,0
06-26 16:05:00.606 11275-11822/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_4: 30002,144,143,43,47,47,43,7,1,47,52,0,0,77350,76233,11,0
06-26 16:05:00.624 11275-11827/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_5: 30001,132,138,46,43,43,46,0,1,43,48,0,0,71195,79172,11,0
06-26 16:05:00.636 11275-11832/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_6: 30001,142,136,50,46,46,50,0,3,46,37,0,0,79206,79173,11,0
06-26 16:05:00.646 11275-11837/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_7: 30000,136,143,48,44,44,48,0,1,44,50,0,0,75730,79337,11,0
06-26 16:05:00.651 11275-11844/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_8: 30001,143,146,51,46,46,51,0,2,46,47,0,0,79975,82251,11,0
06-26 16:05:00.657 11275-11848/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_9: 30001,133,149,51,41,41,51,0,3,41,54,0,0,72769,83529,11,0
06-26 16:05:10.568 11275-11865/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_0: 40001,205,199,64,70,70,64,1,2,70,63,0,0,118992,109854,11,0
06-26 16:05:10.579 11275-11866/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_1: 40001,210,201,69,70,70,69,1,1,70,61,0,0,120730,114522,11,0
06-26 16:05:10.587 11275-11867/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_2: 40000,201,199,64,68,68,64,1,1,68,66,0,0,114331,112170,11,0
06-26 16:05:10.595 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 40000,192,195,65,63,63,64,1,0,63,68,0,0,105580,111699,11,0
