06-26 03:47:43.361 27688-27754/nl.tudelft.cs4160.trustchain_android I/Statistics-lg: runtime,messagesSent,messagesReceived,introductionRequestsSent,introductionRequestsReceived,introductionResponsesSent,introductionResponsesReceived,puncturesSent,puncturesReceived,punctureRequestsSent,punctureRequestsReceived,blockMessagesSent,blockMessagesReceived,bytesSentCount,bytesReceivedCount,activeConnections,newConnections
06-26 16:04:30.596 11275-11817/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-26 16:04:40.595 11275-11817/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 10000,20,14,5,7,7,4,1,0,7,3,0,0,7024,5627,9,2
06-26 16:04:50.595 11275-11819/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 20000,76,80,25,25,25,24,1,0,25,31,0,0,38218,42305,11,0
06-26 16:05:00.595 11275-11817/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 30000,138,139,45,46,46,44,1,0,46,49,0,0,75241,77178,11,0
06-26 16:05:10.595 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 40000,192,195,65,63,63,64,1,0,63,68,0,0,105580,111699,11,0
06-26 16:05:20.594 11275-11819/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 50000,254,257,85,84,84,84,1,0,84,89,0,0,142585,147294,11,0
06-26 16:05:30.595 11275-11819/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 60000,318,318,105,106,106,104,1,0,106,108,0,0,181235,182589,11,0
06-26 16:05:40.597 11275-11817/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 70002,380,385,125,127,127,124,1,0,127,134,0,0,218236,219428,11,0
06-26 16:05:50.596 11275-11916/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 80002,438,438,145,146,146,144,1,0,146,148,0,0,251891,253057,11,0
06-26 16:06:00.595 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 90000,502,501,165,168,168,164,1,0,168,169,0,0,290541,288743,11,0
06-26 16:06:10.594 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 100000,564,564,185,189,189,184,1,0,189,191,0,0,327576,324577,11,0
