06-27 13:26:12.243 30478-30853/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_0-header: runtime,messagesSent,messagesReceived,introductionRequestsSent,introductionRequestsReceived,introductionResponsesSent,introductionResponsesReceived,puncturesSent,puncturesReceived,punctureRequestsSent,punctureRequestsReceived,blockMessagesSent,blockMessagesReceived,bytesSentCount,bytesReceivedCount,activeConnections,newConnections
06-27 13:26:12.244 30478-30853/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_0: 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-27 13:26:12.371 30478-30858/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_1: 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-27 13:26:12.384 30478-30863/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_2: 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-27 13:26:12.400 30478-30868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-27 13:26:12.411 30478-30873/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_4: 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-27 13:26:12.420 30478-30878/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_5: 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-27 13:26:12.429 30478-30883/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_6: 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-27 13:26:12.439 30478-30888/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_7: 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-27 13:26:12.449 30478-30893/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_8: 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-27 13:26:12.457 30478-30898/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_9: 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-27 13:26:12.465 30478-30903/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_10: 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-27 13:26:12.473 30478-30908/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_11: 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-27 13:26:12.482 30478-30913/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_12: 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-27 13:26:12.488 30478-30918/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_13: 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-27 13:26:12.496 30478-30923/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_14: 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-27 13:26:12.502 30478-30928/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_15: 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-27 13:26:12.508 30478-30933/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_16: 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-27 13:26:12.514 30478-30938/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_17: 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-27 13:26:12.521 30478-30943/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_18: 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-27 13:26:12.528 30478-30948/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_19: 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-27 13:26:12.533 30478-30953/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_20: 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-27 13:26:12.541 30478-30958/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_21: 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-27 13:26:12.552 30478-30963/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_22: 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-27 13:26:12.557 30478-30968/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_23: 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-27 13:26:12.564 30478-30973/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_24: 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-27 13:26:22.243 30478-30853/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_0: 10001,41,36,7,11,11,6,12,1,11,18,0,0,14416,13329,9,2
06-27 13:26:22.369 30478-30858/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_1: 10002,36,24,10,11,11,8,4,0,11,5,0,0,9699,11252,7,4
06-27 13:26:22.382 30478-30863/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_2: 10001,23,14,11,5,5,5,2,1,5,3,0,0,5408,8624,4,10
06-27 13:26:22.394 30478-30868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 10001,24,9,11,6,6,2,1,0,6,1,0,0,5317,3523,3,14
06-27 13:26:22.409 30478-30873/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_4: 10001,18,13,11,3,3,7,1,2,3,1,0,0,3868,6534,9,12
06-27 13:26:22.419 30478-30878/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_5: 10000,34,20,11,9,9,4,5,0,9,7,0,0,8889,8924,4,10
06-27 13:26:22.429 30478-30883/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_6: 10002,40,24,7,15,15,3,3,1,15,5,0,0,17620,7403,7,1
06-27 13:26:22.447 30478-30888/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_7: 10009,24,14,11,6,6,5,1,1,6,2,0,0,5870,5764,7,13
